accession	lat	lon	elevation
131-009	37.429130	-118.750510	9983
131-010	37.429313	-118.750474	9980
131-011	37.429242	-118.750828	10005
131-012	37.428850	-118.750989	10015
131-013	37.428909	-118.750892	10009
131-014	37.428412	-118.751110	10019
131-015	37.428372	-118.751111	10019
131-016	37.428397	-118.751093	10019
131-017	37.428307	-118.751151	10019
131-018	37.428039	-118.751396	10005
131-019	37.428024	-118.751128	10006
131-020	37.428042	-118.751398	10005
131-021	37.428015	-118.751059	10008
131-022	37.428053	-118.751389	10005
131-023	37.427994	-118.751052	10009
131-024	37.428046	-118.751428	10006
131-025	37.426079	-118.752012	9957
131-026	37.426075	-118.752005	9962
131-027	37.425874	-118.751989	9957
131-028	37.425852	-118.751995	9957
131-029	37.425857	-118.751959	9957
131-030	37.425798	-118.751976	9957
131-031	37.425751	-118.751958	9957
131-032	37.425792	-118.751980	9957
131-033	37.425733	-118.752085	9957
131-034	37.425777	-118.751993	9957
131-035	37.424886	-118.752648	9996
131-036	37.425764	-118.752031	9957
131-037	37.425044	-118.752634	9996
131-038	37.425760	-118.752057	9957
131-039	37.424870	-118.752496	9996
131-040	37.424881	-118.752423	9992
131-041	37.409299	-118.757332	10656
131-042	37.415015	-118.755656	10637
131-043	37.416781	-118.755364	10594
131-044	37.420580	-118.754737	10581
131-045	37.422497	-118.753775	10553
132-001	37.397642	-118.755784	10363
132-002	37.397614	-118.755779	10363
132-003	37.397446	-118.755837	10362
132-004	37.397617	-118.755795	10363
132-005	37.397350	-118.755788	10363
132-006	37.397550	-118.755714	10364
132-007	37.396967	-118.755770	10365
132-008	37.397172	-118.755703	10361
132-009	37.396784	-118.755696	10346
132-010	37.396964	-118.755782	10365
132-011	37.395178	-118.755054	10383
132-012	37.395191	-118.755017	10384
132-013	37.395178	-118.755044	10385
132-014	37.395129	-118.755002	10385
132-015	37.395061	-118.755004	10404
132-016	37.395107	-118.754982	10398
132-017	37.395077	-118.754903	10403
