"newID","pop","blue_brightness","green_brightness","yellow_brightness","red_brightness","total_brightness","chroma","hue_radians","hue_degrees","modified_hue"
"129-003","129",0.158753641803659,0.0926483632447311,0.173405372714933,0.575192622236677,115.827593994419,0.482766646636636,0.0303541705155177,1.73916586115961,91.7391658611596
"129-030","129",0.244007268613551,0.192211283107459,0.163317043628873,0.400464404650117,155.172585189855,0.223338924149686,5.91353383232026,338.820530599774,68.8205305997745
"129-031A","129",0.241715524795404,0.160810933610882,0.137541156988455,0.459932384605258,127.930737462197,0.31674270528768,5.94805448862916,340.798418512296,70.7984185122957
"129-031B","129",0.242220698303731,0.17597216731474,0.148459470775922,0.433347663605607,139.849968035948,0.273922094542393,5.93383058086866,339.983448629436,69.9834486294359
"129-032","129",0.274702229987095,0.184762962503166,0.140319934409522,0.400214873100217,142.94752197717,0.253925436190661,5.72550486603917,328.04726440566,58.0472644056603
"129-033","129",0.24421014904906,0.173993048857455,0.143075857669223,0.438720944424262,139.014279558762,0.283388432340016,5.91826467140878,339.091587713102,69.0915877131021
"129-034","129",0.257054997514375,0.202536210287921,0.16322265005955,0.377186142138154,162.188052741779,0.198260203077102,5.79017620623587,331.752659254386,61.7526592543859
"129-035","129",0.242406157247873,0.138248650378098,0.114413924971985,0.504931267402044,106.566757339772,0.388378878352691,5.94735301643612,340.758227116189,70.758227116189
"129-036","129",0.250159577829791,0.191628496895175,0.150862420543774,0.40734950473126,150.068897271677,0.237477322426585,5.85179601460055,335.283214208087,65.283214208087
"129-037","129",0.23981108139621,0.179336077291499,0.139746727228835,0.441106114083456,137.181235078981,0.280243513996304,5.91806448038557,339.080117612376,69.0801176123757
"129-038","129",0.262662894412396,0.192388605735407,0.166919615641835,0.378028884210361,173.714688376852,0.208875772702331,5.80702019207166,332.717748552955,62.7177485529549
"129-039","129",0.256643626584067,0.174627249523547,0.140168132687345,0.428560991205042,137.012800353661,0.279372306864602,5.85313278955484,335.359805771127,65.3598057711267
"129-004","129",0.161540772953579,0.0664627039347776,0.156853854847711,0.615142668263933,109.476088726758,0.548699982192067,6.27464334389291,359.510581554918,89.5105815549176
"129-040","129",0.250611632694561,0.173249889231217,0.14012574068661,0.436012737387613,134.98417492466,0.285046393950272,5.88515139973917,337.194337000563,67.1943370005632
"129-041","129",0.257919958868608,0.16325541587469,0.135154593341165,0.443670031915538,133.020184627129,0.306110587635291,5.87052354903107,336.356222891642,66.3562228916418
"129-042","129",0.235715898439271,0.180891759331148,0.151495628492924,0.431896713736657,139.15637040847,0.264757513596776,5.95945698905928,341.451733662838,71.4517336628382
"129-043A","129",0.230637445317354,0.119632682561936,0.101473754834187,0.548256117286523,95.9569372008346,0.447662046341136,5.99049467947125,343.230062329278,73.2300623292777
"129-043B","129",0.24295311402779,0.149491755740603,0.122331064625351,0.485224065606256,112.277757908392,0.356743412959189,5.93826688375406,340.237630061411,70.2376300614112
"129-044","129",0.25872953037273,0.153491375470367,0.128004380187911,0.459774713968991,125.522054705669,0.333014336527283,5.87978158283554,336.886669155227,66.8866691552274
"129-045","129",0.252494347534638,0.18184593967156,0.15203265772071,0.413627055073093,139.587121282686,0.252616382242024,5.87419318745574,336.566477685714,66.5664776857142
"129-046","129",0.237170523654844,0.134938924397148,0.121268766639544,0.506621785308464,110.891172162962,0.389334517316992,5.980911215145,342.680970270269,72.6809702702691
"129-047","129",0.27195604422872,0.176552542397767,0.14565142791274,0.405839985460773,150.359572406164,0.26177392469285,5.77968429097718,331.151516791054,61.151516791054
