"pop","ID","long_stamen_length","short_stamen_length","pistil_length","nectary_area_1","nectary_area_2","floral_tube_length","crease_to_top_height","crease_to_bottom_height","tube_height_at_base","tube_height_at_inflection","mouth_angle","platform_angle","upper_petal_angle","tube_width_at_mouth","tube_width_at_base","lower_petal_angle","tube_height_at_mouth","mouth_constriction_angle","stamen_length_ratio","longstamen_pistil_ratio","longstamen_tube_ratio","pistil_tube_ratio","floral_crease_ratio","mouth_height_width_ratio","throat_inflation_ratio"
129,"129-017B",27.396,23.759,31.332,1.808,2.112,24.309,5.03,2.121,3.133,4.678,46.165,46.165,152.161,6.24,3.556,161.675,7.151,0,1.15307883328423,0.87437763309077,1.12699000370233,1.28890534369986,2.37152286657237,1.14599358974359,1.49313756782636
129,"129-030",29.454,24.708,33.249,0.866,0.693,26.272,7.79,1.244,3.268,NA,NA,NA,NA,6.317,3.559,NA,9.034,NA,1.19208353569694,0.88586122890914,1.12111753958587,1.26556790499391,6.2620578778135,1.43010922906443,NA
129,"129-038A",33.3,27.273,34.166,1.111,0.996,32.924,5.266,3.043,3.734,4.301,38.192,38.192,151.763,6.936,4.24,170.045,8.309,0,1.2209877901221,0.974653163964175,1.011420240554,1.03772324140445,1.73052908314164,1.19795271049596,1.15184788430637
129,"129-051",NA,21.276,NA,0.986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,"129-048",28.493,24.307,33.643,0.561,0.689,24.216,5.752,1.961,2.49,4.663,53.921,30.079,149.874,6.738,3.474,156.206,7.713,-23.842,1.17221376558193,0.846922093749071,1.17661876445325,1.38928807400066,2.93319734829169,1.14470169189671,1.87269076305221
129,"129-043A",24.976,22.196,31.279,1.071,0.856,25.054,8.066,0.861,3.294,4.571,67.312,30.631,122.754,6.39,3.396,169.934,8.927,-36.681,1.12524779239503,0.798491000351674,0.996886724674703,1.24846331923046,9.36817653890825,1.39702660406886,1.38767455980571
129,"129-043B",24.527,22.434,32.763,1.122,0.977,24.988,NA,NA,3.056,4.968,NA,NA,NA,7.032,3.644,NA,NA,NA,1.09329589016671,0.748618868845954,0.981551144549384,1.31114935168881,NA,NA,1.62565445026178
129,"129-038B",32.003,29.579,35.384,0.88,0.895,31.336,NA,NA,3.022,3.705,NA,NA,NA,6.774,3.881,NA,NA,NA,1.08195003211738,0.904448338231969,1.02128542251723,1.129180495277,NA,NA,1.22600926538716
129,"129-023",17.741,14.894,24.206,1.32,1.039,NA,4.116,1.88,3.155,4.398,NA,NA,NA,5.114,2.984,NA,5.996,NA,1.19115079897945,0.732917458481368,NA,NA,2.18936170212766,1.17246773562769,1.39397781299525
129,"129-046",24.542,22.254,31.083,NA,NA,24.905,6.382,1.283,3.038,4.815,47.971,26.822,147.076,NA,4.266,164.953,7.665,-21.149,1.10281297744226,0.78956342695364,0.985424613531419,1.24806263802449,4.9742790335152,NA,1.58492429229756
129,"129-026",26.159,23.372,29.572,0.664,0.944,25.551,6.672,1.036,2.91,4.793,65.304,26.474,141.281,6.19,3.376,153.415,7.708,-38.831,1.11924525072737,0.88458677127012,1.02379554616258,1.15737153144691,6.44015444015444,1.24523424878837,1.64707903780069
129,"129-050",28.185,23.573,30.5,0.667,0.965,26.352,6.22,2.358,3.049,4.748,51.691,30.714,164.012,7.261,4.19,144.297,8.578,-20.977,1.19564756288975,0.924098360655738,1.06955828779599,1.15740740740741,2.63782866836302,1.18137997521003,1.55723187930469
129,"129-034",28.238,25.926,37.533,1.037,1.374,30.424,5.976,1.556,3.107,4.65,65.696,27.96,138.211,7.886,4.448,156.093,7.531,-37.736,1.08917688806603,0.752351264220819,0.928148829871154,1.23366421246384,3.84061696658098,0.954983515090033,1.49662053427744
129,"129-039",22.666,18.68,27.467,NA,NA,24.39,3.585,1.881,4.132,5.09,74.228,32.975,142.692,7.218,2.671,143.081,5.466,-41.253,1.21338329764454,0.825208431936506,0.929315293152931,1.12615826158262,1.90590111642743,0.757273482959269,1.23184898354308
129,"129-035",29.249,NA,35.109,0.979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833091230168903,NA,NA,NA,NA,NA
129,"129-036",29.465,24.252,32.702,0.591,0.751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21495134421903,0.901015228426396,NA,NA,NA,NA,NA
129,"129-031A",26.242,19.622,31.78,0.63,0.532,26.313,6.435,1.185,2.949,3.365,65.587,29.375,148.971,NA,4.014,145.442,7.62,-36.212,1.33737641422893,0.825739458779106,0.997301713981682,1.20776802341048,5.43037974683544,NA,1.14106476771787
