"newID","pop","avg_long_stamen_length","avg_short_stamen_length","avg_pistil_length","avg_floral_tube_length","avg_crease_to_top_height","avg_crease_to_bottom_height","avg_tube_height_at_base","avg_tube_height_at_inflection","avg_mouth_angle","avg_platform_angle","avg_upper_petal_angle","avg_tube_width_at_mouth","avg_tube_width_at_base","avg_lower_petal_angle","avg_tube_height_at_mouth","avg_mouth_constriction_angle","avg_stamen_length_ratio","avg_longstamen_pistil_ratio","avg_longstamen_tube_ratio","avg_pistil_tube_ratio","avg_floral_crease_ratio","avg_mouth_height_width_ratio","avg_throat_inflation_ratio","avg_nectary_area","total_brightness","chroma","modified_hue","K1","K2","rgb","region","subpopulation","class"
"129-039",129,22.666,18.68,27.467,24.39,3.585,1.881,4.132,5.09,74.228,32.975,142.692,7.218,2.671,143.081,5.466,-41.253,1.21338329764454,0.825208431936506,0.929315293152932,1.12615826158262,1.90590111642743,0.757273482959269,1.23184898354308,NA,136.90229461562,0.279597812529391,65.3598057711267,1e-05,0.99999,"#AE7FBAFF","sierras","davidsonii_virginialakes","davidsonii"
"129-040",129,25.29,21.447,30.708,24.65,8.502,1.306,4.186,5.423,63.789,37.647,137.925,7.307,3.558,158.286,9.808,-26.142,1.17918590012589,0.823563892145369,1.02596348884381,1.24576064908722,6.50995405819296,1.34227453127138,1.2955088389871,0.996,136.036950202831,0.282840450666223,67.1943370005633,1e-05,0.99999,"#AF7EB9FF","sierras","davidsonii_virginialakes","davidsonii"
"129-041",129,28.658,23.977,33.678,23.969,6.897,1.422,3.19,5.498,58.393,27.582,132.679,6.976,4.159,168.929,8.319,-30.811,1.19522876089586,0.850941267296158,1.19562768576077,1.40506487546414,4.85021097046414,1.19251720183486,1.72351097178683,1.0665,129.924817024385,0.313403457600582,66.3562228916418,NA,NA,"#AB75B4FF","sierras",NA,NA
"129-042",129,27.344,24.307,31.471,29.475,NA,NA,3.398,4.669,NA,NA,NA,NA,3.923,NA,NA,NA,1.12494343193319,0.868863398048997,0.927701441899915,1.06771840542833,NA,NA,1.37404355503237,1.0715,137.343348889641,0.268252484946342,71.4517336628382,1e-05,0.99999,"#B383B6FF","sierras","davidsonii_virginialakes","davidsonii"
"129-043",129,24.7515,22.315,32.021,25.021,8.066,0.861,3.175,4.7695,67.312,30.631,122.754,6.711,3.52,169.934,8.927,-36.681,1.10927184128087,0.773554934598814,0.989218934612043,1.27980633545964,9.36817653890825,1.39702660406886,1.50666450503374,1.0065,103.938848648909,0.399128211639471,71.779721839336,1e-05,0.99999,"#985D9EFF","sierras","davidsonii_virginialakes","davidsonii"
"129-044",129,26.786,24.788,32.984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08060351783121,0.812090710647587,NA,NA,NA,NA,NA,0.605,123.515944575582,0.338423058747457,66.8866691552274,1e-05,0.99999,"#A66DB0FF","sierras","davidsonii_virginialakes","davidsonii"
"129-045",129,26.108,23.004,30.119,23.924,5.792,1.998,2.669,3.928,61.886,42.683,134.793,5.254,3.586,163.321,7.79,-19.203,1.13493305512085,0.866828247949799,1.0912890820933,1.25894499247617,2.8988988988989,1.48267986296155,1.47171225177969,0.9265,139.410101355247,0.252937149053178,66.5664776857142,NA,NA,"#B187B9FF","sierras",NA,NA
"129-046",129,24.542,22.254,31.083,24.905,6.382,1.283,3.038,4.815,47.971,26.822,147.076,NA,4.266,164.953,7.665,-21.149,1.10281297744226,0.78956342695364,0.985424613531419,1.24806263802449,4.9742790335152,NA,1.58492429229756,NA,112.774544721452,0.382832500857524,72.6809702702691,1e-05,0.99999,"#A363A4FF","sierras","davidsonii_virginialakes","davidsonii"
"129-047",129,32.233,26.686,33.402,26.394,7.518,1.426,3.524,4.509,49.258,26.292,140.478,8.29,3.979,170.265,8.943,-22.966,1.20786180019486,0.965002095682893,1.22122452072441,1.26551488974767,5.27208976157083,1.07876960193004,1.27951191827469,1.0005,144.486643351029,0.272414214013369,61.151516791054,1e-05,0.99999,"#B182C1FF","sierras","davidsonii_virginialakes","davidsonii"
"129-048",129,28.493,24.307,33.643,24.216,5.752,1.961,2.49,4.663,53.921,30.079,149.874,6.738,3.474,156.206,7.713,-23.842,1.17221376558193,0.846922093749071,1.17661876445325,1.38928807400066,2.93319734829169,1.14470169189671,1.87269076305221,0.625,165.524319115615,0.187925919328839,60.4148506400485,NA,NA,"#BE9DCBFF","sierras",NA,NA
