pop	ID	floral_tube_length	crease_to_top_height	crease_to_bottom_height	tube_height_at_base	tube_height_at_inflection	mouth_angle	platform_angle	upper_petal_angle	tube_width_at_mouth	tube_width_at_base	lower_petal_angle	tube_height_at_mouth	mouth_constriction_angle
132	132-076A	20.391	4.627	1.406	1.902	2.9	52.437	33.711	159.687	5.537	3.07	147.876	6.033	-18.726
132	132-076B	19.697	4.071	1.675	1.846	3.092	44.38	44.38	153.458	5.807	3.059	162.162	5.745	0
132	132-080A	20.036	5.338	2.515	3.62	4.276	78.334	47.741	133.104	7.788	4.678	148.562	7.853	-30.593
132	132-080B	21.161	6.462	2.151	3.821	4.196	75.228	36.114	144.312	7.768	4.074	140.46	8.613	-39.114
132	132-063A	21.531	3.412	2.022	2.061	2.777	81.884	58.2	150.711	5.464	2.362	127.404	5.433	-23.685
132	132-063B	21.459	3.938	1.716	1.757	2.954	62.074	62.074	140.771	6.137	2.777	157.155	5.654	0
132	132-075A	23.302	5.494	1.778	2.176	4.094	76.469	51.161	135.462	6.074	3.979	148.069	7.271	-25.308
132	132-075B	24.64	6.119	0.847	3.063	4.114	66.166	30.192	129.645	6.092	3.622	164.189	6.966	-35.973
132	132-055A	21.086	3.998	1.393	1.963	3.419	54.789	45.874	148.847	4.511	2.77	156.364	5.39	-8.915
132	132-055B	20.816	4.001	1.649	2.219	3.682	91.744	49.705	150.055	4.703	2.802	118.201	5.65	-42.039
132	132-078A	19.723	4.141	1.08	1.897	3.047	75.266	32.046	153.244	5.658	2.786	131.49	5.221	-43.221
132	132-078B	19.067	3.942	1.931	2.268	3.371	46.445	46.445	152.964	5.367	3.279	160.591	5.873	0
132	132-071A	18.528	3.361	1.371	2.368	3.334	46.387	37.338	149.425	6.061	3.185	164.188	4.731	-9.049
132	132-071B	18.503	3.445	1.773	2.006	2.763	38.432	38.432	145.399	5.324	3.157	176.169	5.218	0
132	132-073A	23.328	2.523	2.588	2.404	3.076	45.115	45.115	154.247	5.667	3.134	160.639	5.111	0
132	132-073B	19.899	3.74	1.619	2.159	2.78	49.255	27.336	160.337	4.848	3.165	150.408	5.359	-21.918
132	132-061A	23.222	3.77	1.141	1.927	3.04	41.093	41.093	151.517	6.247	3.08	167.39	4.912	0
132	132-061B	23.805	4.733	1.325	2.023	3.358	56.232	36.992	144.295	5.563	3.273	159.473	6.058	-19.24
132	132-074A	19.168	3.76	2.373	1.936	2.929	73.318	73.318	137.272	5.236	2.869	149.411	6.133	0
132	132-074B	18.458	4.363	2.407	2.366	3.329	65.241	65.241	144.597	5.83	3.5	150.162	6.77	0
132	132-045A	19.733	3.615	1.577	2.01	NA	54.367	30.038	149.99	6.052	2.871	155.643	5.192	-24.33
132	132-045B	20.889	4.016	1.721	2.231	NA	58.165	32.53	148.958	6.261	3.032	152.878	5.737	-25.635
132	132-056A	22.444	4.348	1.543	1.947	4.245	33.4	22.345	155.482	6.205	3.593	171.118	5.891	-11.056
132	132-056B	21.996	4.566	1.58	2.265	4.15	39.521	23.062	157.62	6.201	3.618	162.86	6.146	-16.458
132	132-064A	19.609	4.076	1.653	1.402	2.55	47.877	27.081	151.915	5.618	2.638	160.208	5.729	-20.796
132	132-064B	21.21	4.267	1.696	1.96	3.345	61.053	50.362	145.124	NA	NA	153.823	5.963	-10.691
132	132-065A	18.792	3.778	1.178	1.708	2.428	63.023	40.375	150.903	5.348	2.711	146.073	4.956	-22.648
132	132-065B	20.548	3.939	0.828	1.87	2.744	48.127	29.884	156.111	5.583	2.583	155.762	4.767	-18.243
132	132-041A	23.867	5.363	2.278	2.628	4.582	59.945	35.097	142.893	7.142	2.93	157.162	7.64	-24.848
