pop	ID	long_stamen_length	short_stamen_length	pistil_length	nectary_area_1	nectary_area_2
131	131-002A	22.620	19.431	26.118	1.200	1.341
131	131-002B	22.466	19.191	26.116	0.935	1.028
131	131-024A	26.864	23.571	30.263	1.852	1.594
131	131-024B	24.390	22.977	27.833	1.380	1.845
131	131-038A	25.194	21.804	25.271	1.433	1.044
131	131-038B	23.705	21.750	24.691	1.069	1.132
131	131-040A	25.024	22.637	26.804	1.181	NA
131	131-040B	25.394	22.377	29.030	1.141	0.899
131	131-020A	27.203	23.637	28.303	1.740	1.522
131	131-020B	27.030	24.164	28.938	1.639	NA
131	131-027A	27.328	24.029	30.745	1.495	1.540
131	131-027B	27.222	24.155	29.350	1.800	1.546
131	131-017A	27.118	26.414	27.566	0.996	NA
131	131-017B	25.132	23.688	26.051	1.620	NA
131	131-035A	25.756	23.268	30.075	1.313	1.189
131	131-035B	25.461	22.756	28.488	1.048	1.126
131	131-007A	24.644	22.074	23.500	1.426	1.423
131	131-007B	24.434	22.418	23.270	1.333	1.582
131	131-030A	21.709	18.129	23.841	1.277	1.301
131	131-030B	24.197	20.416	25.461	1.018	1.085
131	131-012A	NA	NA	23.214	1.183	0.994
131	131-012B	18.918	17.231	22.156	1.271	1.053
131	131-022A	29.216	26.337	26.143	2.105	2.178
131	131-022B	29.596	26.507	26.827	2.089	1.933
131	131-016A	25.897	22.590	26.599	1.108	1.384
131	131-016B	24.221	21.517	24.756	0.895	0.982
131	131-025A	25.164	22.190	24.341	1.249	1.379
131	131-025B	23.444	21.277	20.785	1.156	0.748
131	131-034A	24.361	20.888	25.444	1.445	1.306
131	131-034B	24.875	21.704	27.168	1.114	1.514
131	131-010A	24.927	23.064	NA	0.665	0.657
131	131-010B	23.186	21.255	26.428	0.908	0.804
131	131-028A	24.903	23.196	22.307	1.057	0.782
131	131-028B	25.763	22.289	24.733	1.094	1.281
131	131-005A	22.342	18.937	24.537	0.997	1.251
131	131-005B	21.513	18.437	22.778	0.734	0.978
131	131-018A	24.732	21.926	24.555	2.513	2.354
131	131-018B	25.739	22.541	25.729	2.161	2.390
131	131-003A	24.211	21.546	24.058	1.460	1.447
131	131-003B	23.889	21.032	23.886	1.474	1.276
131	131-039A	26.792	22.244	26.932	1.861	1.540
131	131-039B	26.584	23.020	NA	1.800	NA
131	131-014A	24.610	22.562	25.824	1.520	1.102
131	131-014B	22.421	21.196	24.783	1.187	1.443
131	131-037A	20.867	18.482	25.750	1.141	1.164
131	131-037B	21.096	18.271	24.195	1.093	0.899
131	131-029A	23.619	20.895	23.063	1.352	0.992
131	131-029B	23.825	20.498	24.466	1.210	1.226
131	131-045A	26.743	24.335	27.906	1.343	1.751
131	131-045B	25.889	24.008	27.225	1.280	1.892
131	131-041A	25.293	22.512	25.331	1.337	1.219
131	131-041B	25.897	21.520	26.492	1.379	1.252
131	131-043A	25.690	23.997	27.591	1.264	1.105
131	131-043B	25.220	24.013	27.029	0.936	0.986
131	131-042A	26.338	22.528	27.049	1.556	1.502
131	131-042B	26.391	22.867	28.288	1.419	1.661
131	131-044A	25.468	22.311	29.775	1.262	1.219
131	131-044B	25.974	22.800	29.470	1.327	NA
132	132-033A	29.264	26.891	35.614	0.904	0.883
132	132-019A	25.325	22.843	30.186	0.684	0.844
132	132-018A	27.065	22.102	35.577	0.819	0.953
132	132-012A	30.204	26.106	35.004	1.536	NA
132	132-014A	25.922	21.195	27.572	1.107	1.295
132	132-014B	27.656	22.140	31.358	1.084	1.288
132	132-010A	27.671	24.661	29.002	0.999	0.832
132	132-010B	28.012	25.077	28.907	1.346	0.845
132	132-006A	32.195	26.703	30.522	1.708	1.314
132	132-006B	32.606	27.594	31.505	1.211	1.666
132	132-001A	27.854	24.151	28.090	1.115	1.051
132	132-001B	26.943	23.802	27.261	1.248	1.299
132	132-007A	30.064	28.010	29.834	1.133	1.201
132	132-007B	29.565	27.653	28.656	0.854	0.983
132	132-004A	29.456	27.410	31.413	0.728	0.647
132	132-004B	28.668	26.787	31.571	0.885	0.786
132	132-002A	26.024	23.828	26.504	0.770	NA
132	132-002B	26.615	24.201	26.346	1.393	1.405
132	132-017A	28.550	25.161	29.823	1.136	1.037
132	132-017B	28.707	25.744	30.738	1.106	1.181
132	132-008A	26.322	23.209	29.579	1.304	1.222
132	132-008B	28.067	23.906	31.735	1.677	1.471
132	132-043A	25.740	21.516	27.061	0.746	0.904
132	132-043B	26.786	22.111	28.190	0.801	0.927
132	132-067A	22.141	19.288	26.633	1.057	1.048
132	132-067B	24.808	20.851	28.969	1.502	1.472
132	132-072A	25.621	22.547	27.093	1.317	1.005
132	132-072B	25.806	22.293	27.530	1.520	1.395
132	132-070A	21.462	18.623	24.301	0.864	0.779
132	132-070B	24.704	21.984	25.376	1.090	1.072
132	132-062A	23.565	20.996	25.214	0.831	0.745
132	132-062B	22.247	21.914	23.591	1.256	1.029
132	132-069A	25.204	23.036	28.364	1.182	0.866
132	132-069B	24.478	22.791	28.469	1.135	0.906
132	132-058A	27.250	22.242	30.085	1.410	1.339
132	132-058B	24.439	20.986	28.227	1.026	1.401
132	132-020A	27.103	21.500	30.090	1.172	1.382
132	132-020B	26.298	21.204	27.774	1.111	1.097
132	132-042A	27.445	21.517	30.566	1.292	0.943
132	132-042B	27.913	22.525	31.465	1.027	0.899
132	132-060A	25.561	22.862	26.067	1.068	1.121
132	132-060B	26.631	23.711	27.440	0.953	NA
132	132-051A	29.360	26.399	30.734	1.230	1.293
132	132-051B	28.232	24.029	28.175	0.868	0.873
132	132-077A	26.712	24.623	30.457	1.225	NA
132	132-077B	26.922	24.488	29.656	1.163	0.755
132	132-059A	24.455	21.645	24.408	1.257	0.784
132	132-059B	25.739	22.757	24.523	1.157	1.206
132	132-066A	26.221	22.716	30.538	1.210	1.106
132	132-066B	26.356	23.759	31.961	0.985	0.904
132	132-054A	26.189	22.002	26.735	0.991	0.921
132	132-054B	26.432	23.142	26.994	1.323	1.429
132	132-076A	27.770	24.374	27.585	1.440	1.257
132	132-076B	26.104	23.212	26.941	1.123	NA
132	132-080A	23.938	19.143	30.439	1.233	1.178
132	132-080B	24.513	19.286	28.648	NA	NA
132	132-063A	25.857	23.371	26.874	1.369	1.113
132	132-063B	26.253	23.986	27.719	1.597	1.356
132	132-075A	22.357	18.381	32.906	1.035	1.179
132	132-075B	23.332	18.932	32.799	1.386	0.978
